"","latitude","longitude"
"96",63.54263,-150.95011
"97",63.53845,-150.95845
"98",63.5315,-150.97095
"99",63.39401,-150.32647
"100",63.53845,-150.96678
"101",63.55929,-150.77789
"102",63.54401,-150.92789
"103",63.53984,-150.9765
"104",63.54068,-150.95289
"105",63.33013,-150.49453
"106",63.55374,-150.85845
"107",63.5379,-150.94178
"108",63.74791,-150.44623
"109",63.55429,-150.85539
"110",63.27022,-145.58939
"111",63.55235,-150.8765
"112",63.52373,-150.9765
"113",63.23152,-149.62283
"114",63.93964,-147.74285
"115",63.19569,-149.65782
"116",63.25959,-149.47283
"117",63.21569,-149.64589
"118",63.23958,-149.61283
"119",63.26265,-149.54089
"120",63.21264,-149.64977
"121",63.17958,-149.67282
"122",63.22152,-149.57282
"123",63.26459,-149.53172
"124",63.21569,-149.64589
"125",63.68959,-149.74287
"126",63.28459,-149.48394
"127",63.18958,-149.93283
"128",63.06568,-149.96171
"129",63.23958,-149.61283
"130",63.18769,-147.40387
"131",63.19963,-147.32276
"132",63.06958,-149.86282
"133",63.16347,-149.78893
"134",63.21152,-149.69477
"135",62.8858,-143.65874
"136",62.61413,-143.2337
"137",62.37358,-143.02367
"138",62.08192,-141.86944
"139",62.11276,-141.81944
"140",62.08083,-141.12748
"141",62.07805,-141.06942
"142",62.10442,-141.82944
"143",62.93648,-151.2909
"144",62.90147,-152.15397
"145",62.88563,-152.22897
"146",62.55341,-152.19976
"147",61.7915,-149.29658
"148",61.82956,-149.18269
"149",61.78567,-149.12462
"150",61.78956,-149.05268
"151",61.56956,-148.80265
"152",61.58846,-148.19986
"153",61.12955,-149.09262
"154",61.0526,-149.10068
"155",61.07956,-148.2826
"156",63.34799,-145.69967
"157",61.06956,-148.11259
"158",61.00956,-148.08259
"159",61.49957,-148.40236
"160",61.01954,-149.13262
"161",63.31633,-145.67467
"162",61.27162,-142.18856
"163",61.37274,-142.43746
"164",61.37357,-142.46135
"165",61.41079,-142.38357
"166",61.39468,-142.51553
"167",61.48856,-142.77137
"168",61.55272,-143.79252
"169",61.6066,-143.67863
"170",61.7366,-143.90643
"171",61.9595,-152.30277
"172",62.81968,-144.22264
"173",62.73274,-144.05762
"174",62.75079,-144.03374
"175",62.75968,-144.04263
"176",67.12845,-155.95316
"177",67.29148,-157.17043
"178",67.18066,-156.38957
"179",67.41956,-156.28349
"180",67.20762,-155.95845
"181",67.80956,-156.76356
"182",67.06958,-155.04341
"183",67.10846,-155.40537
"184",67.42961,-154.02344
"185",67.47571,-154.68152
"186",67.6096,-154.81348
"187",67.5796,-154.88348
"188",67.46126,-154.99708
"189",67.83738,-155.26631
"190",67.32385,-150.42304
"191",67.49247,-150.16028
"192",67.24827,-151.58085
"193",67.54133,-152.06507
"194",67.3163,-152.92006
"195",67.35908,-152.65839
"196",67.5916,-151.8984
"197",67.3291,-151.30835
"198",67.39797,-152.67173
"199",67.47634,-151.48338
"200",58.26225,-134.33117
"201",58.32808,-134.26422
"202",58.27419,-134.28783
"203",58.28308,-134.30978
"204",58.69724,-135.25734
"205",58.72279,-135.97736
"206",58.18307,-134.78812
"207",58.16918,-134.7409
"208",58.20863,-134.86869
"209",58.2178,-134.87119
"210",58.29863,-135.06259
"211",67.87974,-148.68335
"212",67.83974,-148.57334
"213",67.65972,-149.26334
"214",67.59971,-149.38333
"215",67.85973,-148.81335
"216",67.58971,-149.73334
"217",62.99155,-148.0447
"218",62.50458,-148.71967
"219",65.45471,-146.51186
"220",62.42151,-149.09968
"221",62.34958,-148.82272
"222",62.13956,-149.26271
"223",62.11957,-149.08271
"224",62.33068,-149.18079
"225",54.80167,-131.9737
"226",62.72151,-149.54167
"227",62.88962,-147.35273
"228",62.86847,-149.36084
"229",61.33576,-143.84556
"230",65.45779,-145.22404
"231",55.99477,-130.05869
"232",55.99616,-130.05092
"233",55.99671,-130.04869
"234",55.99505,-130.04814
"235",55.99477,-130.06786
"236",55.99171,-130.05369
"237",55.98921,-130.05342
"238",55.98588,-130.05453
"239",55.98866,-130.04758
"240",55.75587,-130.75787
"241",55.34974,-131.64177
"242",55.30474,-131.63066
"243",55.36474,-131.47566
"244",55.36864,-131.1937
"245",55.16363,-131.73482
"246",55.20085,-131.58787
"247",55.17668,-131.60676
"248",55.14168,-131.36481
"249",55.1278,-131.37564
"250",55.10585,-131.40481
"251",55.11085,-131.39869
"252",63.22448,-154.76406
"253",63.23559,-154.79906
"254",63.23337,-154.78295
"255",63.21142,-154.766
"256",63.21448,-154.74988
"257",63.11947,-154.89294
"258",63.50753,-155.63493
"259",56.52623,-158.57553
"260",56.24927,-158.95246
"261",56.24122,-158.70356
"262",56.23039,-158.51356
"263",64.37444,-144.21668
"264",64.98972,-145.30288
"265",58.64615,-133.8484
"266",58.04559,-133.44918
"267",63.79976,-141.31264
"268",67.53974,-148.21329
"269",67.53974,-148.20329
"270",67.42975,-147.10324
"271",67.83974,-148.49334
"272",64.91237,-164.64441
"273",64.97625,-164.6472
"274",65.67132,-162.46726
"275",65.27937,-162.28332
"276",65.89936,-163.30341
"277",65.80934,-164.49342
"278",65.03936,-162.53329
"279",65.08936,-162.4033
"280",65.02936,-162.57329
"281",65.20072,-163.87972
"282",65.18933,-163.84333
"283",65.22128,-163.77027
"284",65.20739,-163.82027
"285",64.72678,-165.51857
"286",64.6065,-165.48189
"287",39.85806,-113.4273
"288",59.68609,-153.9265
"289",60.17943,-153.83265
"290",60.77832,-154.50882
"291",60.70554,-154.59577
"292",59.24523,-154.48453
"293",61.59086,-153.57305
"294",61.4639,-153.70748
"295",61.5178,-153.48304
"296",61.56808,-153.32276
"297",61.73337,-153.20055
"298",61.68337,-153.05693
"299",61.66004,-153.04526
"300",61.53864,-153.16053
"301",61.44447,-153.22441
"302",61.48254,-153.05274
"303",61.46614,-153.24997
"304",61.14974,-153.2505
"305",59.32974,-136.33213
"306",59.31974,-136.45213
"307",59.38974,-136.07213
