"","latitude","longitude"
"335",62.55341,-152.19976
"336",62.49648,-151.00585
"337",61.49687,-144.26086
"338",61.01211,-145.75253
"339",61.251,-145.80255
"340",61.27603,-144.38862
"341",61.69129,-145.90537
"342",61.87738,-146.89569
"343",61.77844,-149.40769
"344",61.7915,-149.29658
"345",61.7965,-149.28852
"346",63.3566,-145.69856
"347",61.46955,-149.20265
"348",61.84928,-149.15241
"349",61.78956,-149.05268
"350",63.34549,-145.70384
"351",61.56956,-148.80265
"352",61.58846,-148.19986
"353",61.73959,-147.44263
"354",61.12955,-149.09262
"355",61.75927,-149.43241
"356",61.06956,-148.1626
"357",63.34799,-145.69967
"358",61.06956,-148.11259
"359",61.00956,-148.08259
"360",63.32966,-145.72773
"361",61.08957,-147.90259
"362",61.08958,-147.41258
"363",61.01958,-147.39257
"364",61.01958,-147.21257
"365",63.32633,-145.69301
"366",61.49957,-148.40236
"367",63.31633,-145.67467
"368",61.27162,-142.18856
"369",61.33662,-142.17745
"370",63.28716,-145.63078
"371",61.37274,-142.43746
"372",61.31161,-142.48135
"373",61.37357,-142.46135
"374",61.41079,-142.38357
"375",61.40579,-142.25246
"376",61.40162,-142.37357
"377",61.45357,-142.28357
"378",61.39468,-142.51553
"379",61.45578,-142.64442
"380",61.39662,-142.49941
"381",61.44662,-142.48636
"382",61.46356,-142.67859
"383",61.48579,-142.35636
"384",61.49357,-142.31247
"385",61.49774,-142.27553
"386",61.48856,-142.77137
"387",61.49856,-142.77554
"388",61.55467,-142.97443
"389",61.52356,-143.15861
"390",63.07996,-144.37184
"391",61.55772,-143.39862
"392",61.51272,-143.63362
"393",61.54577,-143.72445
"394",61.55272,-143.79252
"395",61.63662,-142.34942
"396",61.62274,-142.42248
"397",61.63079,-142.41942
"398",61.56078,-142.98055
"399",63.02051,-144.26072
"400",61.55967,-143.18056
"401",61.56272,-143.64557
"402",61.62966,-143.62252
"403",61.5666,-143.71946
"404",61.55855,-143.74363
"405",61.55855,-143.76058
"406",63.30105,-145.99967
"407",61.61966,-143.79141
"408",61.62772,-143.84641
"409",61.56965,-143.89752
"410",61.62076,-143.98447
"411",61.67359,-141.66635
"412",61.64663,-141.79441
"413",61.69358,-141.85553
"414",63.31633,-145.99107
"415",63.31327,-145.98579
"416",61.6566,-143.61363
"417",61.6816,-143.83447
"418",61.70355,-143.80364
"419",61.70855,-143.85253
"420",61.7266,-143.71364
"421",63.30272,-145.98079
"422",63.34772,-145.95246
"423",61.6916,-143.93364
"424",61.71855,-143.92364
"425",61.71772,-143.87142
"426",61.76358,-142.00859
"427",61.73077,-143.98643
"428",63.27799,-145.8744
"429",61.7416,-143.86642
"430",61.75272,-143.9056
"431",61.77077,-143.93865
"432",61.79355,-143.94448
"433",61.80077,-143.88254
"434",61.94471,-141.04053
"435",61.9836,-141.09941
