"","latitude","longitude"
"261",61.44447,-153.22441
"262",61.48254,-153.05274
"263",61.69476,-153.19249
"264",61.46614,-153.24997
"265",61.14974,-153.2505
"266",59.31974,-136.45213
"267",59.38974,-136.07213
"268",59.59976,-135.16211
"269",59.00972,-137.01213
"270",59.10973,-136.28211
"271",58.4936,-137.09099
"272",58.79666,-136.49099
"273",55.7823,-160.26855
"274",57.84665,-136.19176
"275",57.84054,-136.26121
"276",57.69086,-133.3775
"277",57.61503,-133.26971
"278",64.10945,-143.22495
"279",65.52107,-161.40333
"280",65.51329,-161.40361
"281",65.50523,-161.41083
"282",64.38946,-157.09312
"283",64.00265,-150.24792
"284",64.06944,-157.8031
"285",65.54938,-161.94335
"286",65.5744,-161.47028
"287",65.5694,-161.43334
"288",65.53384,-161.40167
"289",65.48939,-161.44333
"290",65.4894,-161.39333
"291",65.4605,-161.40139
"292",65.4894,-161.34333
"293",65.4694,-161.36333
"294",65.4594,-161.31332
"295",65.41939,-161.35332
"296",65.5394,-161.06333
"297",65.62793,-165.13757
"298",62.29447,-153.94895
"299",62.31837,-153.89173
"300",62.33948,-153.81173
"301",62.34837,-153.64284
"302",62.26642,-153.66283
"303",62.21448,-153.71783
"304",62.18976,-153.69171
"305",62.18254,-153.70088
"306",62.4494,-157.93293
"307",57.51939,-153.93246
"308",57.90942,-152.61246
"309",65.01356,-147.56963
"310",64.58841,-154.39197
"311",65.85093,-155.07269
"312",66.99675,-157.00901
"313",66.2495,-157.51336
"314",67.45946,-160.79359
"315",66.49272,-150.20738
"316",69.29987,-144.37341
"317",69.29988,-143.9234
"318",63.75913,-171.65323
"319",63.33023,-171.37429
"320",63.36412,-171.29929
"321",63.43913,-171.12319
"322",63.52913,-171.0432
"323",68.28948,-161.30373
"324",68.56955,-158.68373
"325",68.3865,-157.93562
"326",68.16944,-162.89374
"327",66.16945,-159.74339
"328",65.51455,-167.15841
"329",65.43315,-167.22146
"330",65.52594,-167.15174
"331",51.91502,-176.61539
"332",67.27956,-156.20347
"333",67.23955,-156.51347
"334",67.37954,-157.20351
"335",67.54956,-156.61352
"336",67.24954,-157.00347
"337",68.29972,-150.20346
"338",68.1297,-150.71345
"339",67.47985,-142.30308
"340",67.24985,-141.66302
"341",67.52985,-142.30308
"342",67.57987,-141.28305
"343",67.47987,-141.16303
"344",67.28986,-141.56302
"345",68.22959,-156.30362
"346",68.31958,-156.62364
"347",68.29958,-156.64364
"348",68.22955,-157.85559
"349",68.14961,-155.23358
"350",68.12961,-154.99357
"351",68.15961,-154.96357
"352",68.14961,-155.22358
"353",68.14961,-155.25358
"354",68.16961,-155.26358
"355",68.19961,-155.01358
"356",68.12961,-155.28358
"357",68.3196,-155.70362
"358",68.41989,-142.01319
"359",68.39989,-141.75318
"360",68.57843,-158.72484
"361",61.02956,-148.17259
"362",61.07958,-147.35258
"363",61.08958,-147.37258
"364",61.08958,-147.33258
"365",61.05958,-147.30257
"366",61.06958,-147.29257
"367",61.03958,-147.28257
"368",61.05958,-147.17257
"369",61.10958,-147.14257
"370",61.10958,-147.13257
"371",61.81956,-149.29269
"372",61.52948,-152.99275
"373",61.7295,-152.07275
"374",61.90949,-152.92278
"375",57.79941,-153.18246
"376",57.78941,-153.21135
