"","state","Metal","Number Of Deposits"
"295","New Mexico","Vanadium",74
"296","New Mexico","Tungsten",59
"297","New Mexico","Zinc",344
"298","New York","Metal",29
"299","New York","Iron",407
"300","New York","Lead",52
"301","New York","Molybdenum",8
"302","New York","Sulfur-Pyrite",19
"303","New York","Titanium",49
"304","New York","Manganese",19
"305","New York","Zinc",15
"306","New York","Zirconium",6
"307","New York","Vanadium",8
"308","New York","Copper",6
"309","North Carolina","Copper",130
"310","North Carolina","Silver",16
"311","North Carolina","Magnesite",21
"312","North Carolina","Manganese",30
"313","North Carolina","REE",29
"314","North Carolina","Thorium",26
"315","North Carolina","Tin",36
"316","North Carolina","Lead",32
"317","North Carolina","Gold",524
"318","North Carolina","Iron",238
"319","North Dakota","Uranium",23
"320","North Dakota","Manganese",1
"321","Ohio","Titanium",4
"322","Ohio","Iron",36
"323","Ohio","Aluminum",3
"324","Ohio","Beryllium",2
"325","Ohio","Chromium",4
"326","Ohio","Silica",5
"327","Ohio","Zirconium",8
"328","Ohio","Manganese",2
"329","Ohio","Tungsten",3
"330","Ohio","Zinc",2
"331","Ohio","Metal",2
"332","Ohio","REE",2
"333","Oklahoma","Uranium",4
"334","Oklahoma","Zinc",9
"335","Oklahoma","Metal",1
"336","Oklahoma","Copper",173
"337","Oklahoma","Lead",13
"338","Oklahoma","Manganese",1
"339","Oklahoma","Silica",8
"340","Oklahoma","Titanium",2
"341","Oklahoma","Nickel",1
"342","Oklahoma","Zirconium",1
"343","Oklahoma","Platinum",2
"344","Oklahoma","Palladium",1
"345","Oregon","Copper",726
"346","Oregon","Gold",4510
"347","Oregon","Chromium",1195
"348","Oregon","Mercury",632
"349","Oregon","Uranium",148
"350","Oregon","Lead",153
"351","Oregon","Manganese",183
"352","Oregon","Zinc",157
"353","Oregon","Nickel",131
"354","Oregon","Silver",696
"355","Pennsylvania","Chromium",17
"356","Pennsylvania","Zirconium",5
"357","Pennsylvania","Aluminum",4
"358","Pennsylvania","Manganese",12
"359","Pennsylvania","Copper",33
"360","Pennsylvania","Iron",848
"361","Pennsylvania","Lead",38
"362","Pennsylvania","Silver",4
"363","Pennsylvania","Molybdenum",6
"364","Pennsylvania","Niobium (Columbium)",4
"365","Pennsylvania","Platinum",4
"366","Pennsylvania","Zinc",32
"367","Pennsylvania","Thorium",4
"368","Pennsylvania","Titanium",4
"369","Pennsylvania","Uranium",4
"370","Rhode Island","Arsenic",1
"371","Rhode Island","Metal",1
"372","Rhode Island","Gold",2
"373","Rhode Island","Iron",4
"374","Rhode Island","Manganese",1
"375","Rhode Island","Molybdenum",1
"376","Rhode Island","Titanium",3
"377","South Carolina","Gold",258
"378","South Carolina","Copper",10
"379","South Carolina","Silver",6
"380","South Carolina","Thorium",40
"381","South Carolina","Tin",9
"382","South Carolina","Titanium",57
"383","South Carolina","Zirconium",40
"384","South Carolina","REE",5
"385","South Carolina","Iron",111
"386","South Carolina","Manganese",15
"387","South Dakota","Copper",18
"388","South Dakota","Beryllium",8
"389","South Dakota","Lithium",16
"390","South Dakota","Gold",486
"391","South Dakota","Iron",26
"392","South Dakota","Lead",20
"393","South Dakota","Tin",61
"394","South Dakota","Tungsten",47
"395","South Dakota","Uranium",212
"396","South Dakota","Silver",192
"397","South Dakota","Sulfur-Pyrite",8
"398","South Dakota","Manganese",8
"399","Tennessee","Gold",124
"400","Tennessee","Aluminum",21
"401","Tennessee","Copper",10
"402","Tennessee","Silica",82
"403","Tennessee","Iron",557
"404","Tennessee","Lead",31
"405","Tennessee","Manganese",138
"406","Tennessee","Zinc",113
"407","Tennessee","Titanium",9
"408","Tennessee","Uranium",101
"409","Texas","Gold",34
"410","Texas","Copper",212
"411","Texas","Mercury",40
"412","Texas","Iron",98
"413","Texas","Lead",100
"414","Texas","Manganese",35
"415","Texas","Zinc",61
"416","Texas","Silica",47
"417","Texas","Silver",132
"418","Texas","Uranium",163
"419","Utah","Copper",1066
"420","Utah","Gold",794
"421","Utah","Iron",336
"422","Utah","Lead",1460
"423","Utah","Manganese",179
"424","Utah","Silver",1454
"425","Utah","Tungsten",169
"426","Utah","Uranium",2256
"427","Utah","Vanadium",596
"428","Utah","Zinc",601
"429","Vermont","Aluminum",2
"430","Vermont","Arsenic",2
"431","Vermont","Chromium",4
"432","Vermont","Copper",56
"433","Vermont","Gold",20
"434","Vermont","Iron",70
"435","Vermont","Lead",32
"436","Vermont","Molybdenum",4
"437","Vermont","Silver",3
"438","Vermont","Titanium",2
"439","Vermont","Uranium",22
"440","Vermont","Zinc",15
"441","Virginia","Aluminum",6
"442","Virginia","Copper",214
"443","Virginia","Gold",392
"444","Virginia","Iron",731
"445","Virginia","Lead",56
"446","Virginia","Manganese",311
"447","Virginia","Nickel",6
"448","Virginia","Pig Iron",6
"449","Virginia","Silver",9
"450","Virginia","Sulfur-Pyrite",24
"451","Virginia","Titanium",23
"452","Virginia","Zinc",164
"453","Washington","Copper",1584
"454","Washington","Gold",2428
"455","Washington","Iron",212
"456","Washington","Lead",1113
"457","Washington","Manganese",193
"458","Washington","Molybdenum",178
"459","Washington","Silver",1510
"460","Washington","Tungsten",151
"461","Washington","Uranium",137
"462","Washington","Zinc",540
"463","West Virginia","Aluminum",2
"464","West Virginia","Chromium",2
"465","West Virginia","Contained or Metal",1
"466","West Virginia","Iron",126
"467","West Virginia","Manganese",13
"468","West Virginia","Nickel",1
"469","West Virginia","Zinc",2
"470","West Virginia","Zirconium",2
"471","Wisconsin","Copper",92
"472","Wisconsin","Ferromanganese",1
"473","Wisconsin","Gold",3
"474","Wisconsin","Iron",45
"475","Wisconsin","Lead",351
"476","Wisconsin","Manganese",2
"477","Wisconsin","Molybdenum",3
"478","Wisconsin","Nickel",4
"479","Wisconsin","REE",1
"480","Wisconsin","Silica",4
"481","Wisconsin","Silver",1
"482","Wisconsin","Zinc",406
"483","Wyoming","Copper",191
"484","Wyoming","Gold",213
"485","Wyoming","Iron",122
"486","Wyoming","Lead",20
"487","Wyoming","Manganese",21
"488","Wyoming","Silica",22
"489","Wyoming","Silver",46
"490","Wyoming","Titanium",27
"491","Wyoming","Tungsten",26
"492","Wyoming","Uranium",2245
