"","state","commod1","n"
"476","Missouri","Smelter",2
"477","Missouri","Sulfur-Pyrite",26
"478","Missouri","Titanium",2
"479","Missouri","Tungsten",8
"480","Missouri","Uranium",2
"481","Missouri","Zinc",3246
"482","Montana","Aluminum",35
"483","Montana","Antimony",26
"484","Montana","Arsenic",12
"485","Montana","Beryllium",12
"486","Montana","Bismuth",6
"487","Montana","Chromium",73
"488","Montana","Coal",1
"489","Montana","Cobalt",6
"490","Montana","Contained or Metal",1
"491","Montana","Copper",1096
"492","Montana","Geothermal",1
"493","Montana","Gold",3606
"494","Montana","Iron",172
"495","Montana","Lead",1332
"496","Montana","Magnesite",4
"497","Montana","Manganese",274
"498","Montana","Mercury",2
"499","Montana","Metal",13
"500","Montana","Molybdenum",90
"501","Montana","Nickel",45
"502","Montana","Niobium (Columbium)",19
"503","Montana","Oil Shale",1
"504","Montana","Palladium",21
"505","Montana","Petroleum (Oil)",1
"506","Montana","PGE",6
"507","Montana","Platinum",37
"508","Montana","REE",18
"509","Montana","Refinery",1
"510","Montana","Rhodium",12
"511","Montana","Silica",64
"512","Montana","Silver",2044
"513","Montana","Sulfur-Pyrite",1
"514","Montana","Tantalum",4
"515","Montana","Tellurium",1
"516","Montana","Thorium",87
"517","Montana","Tin",1
"518","Montana","Titanium",44
"519","Montana","Tungsten",252
"520","Montana","Uranium",228
"521","Montana","Vanadium",3
"522","Montana","Zinc",316
"523","Montana","Zirconium",2
"524","Nebraska","Lead",2
"525","Nebraska","Refiner",1
"526","Nebraska","Smelter",1
"527","Nevada","Aluminum",24
"528","Nevada","Antimony",293
"529","Nevada","Arsenic",17
"530","Nevada","Beryllium",17
"531","Nevada","Bismuth",3
"532","Nevada","Chromium",2
"533","Nevada","Cobalt",9
"534","Nevada","Copper",1292
"535","Nevada","Gallium",1
"536","Nevada","Geothermal",1
"537","Nevada","Gold",5403
"538","Nevada","Iron",215
"539","Nevada","Lead",1162
"540","Nevada","Lithium",5
"541","Nevada","Magnesite",32
"542","Nevada","Manganese",231
"543","Nevada","Mercury",578
"544","Nevada","Metal",14
"545","Nevada","Mill Concentrate",1
"546","Nevada","Molybdenum",135
"547","Nevada","Nickel",20
"548","Nevada","Niobium (Columbium)",1
"549","Nevada","Palladium",2
"550","Nevada","Platinum",4
"551","Nevada","Radium",1
"552","Nevada","REE",7
"553","Nevada","Silica",60
"554","Nevada","Silver",3158
"555","Nevada","Tantalum",1
"556","Nevada","Thorium",9
"557","Nevada","Tin",12
"558","Nevada","Titanium",31
"559","Nevada","Tungsten",1004
"560","Nevada","Uranium",544
"561","Nevada","Vanadium",15
"562","Nevada","Zinc",288
"563","New Hampshire","Beryllium",13
"564","New Hampshire","Bismuth",1
"565","New Hampshire","Copper",31
"566","New Hampshire","Gold",11
"567","New Hampshire","Iron",12
"568","New Hampshire","Lead",32
"569","New Hampshire","Molybdenum",10
"570","New Hampshire","Pig Iron",1
"571","New Hampshire","Silica",52
"572","New Hampshire","Silver",3
"573","New Hampshire","Sulfur-Pyrite",4
"574","New Hampshire","Tin",1
"575","New Hampshire","Titanium",1
"576","New Hampshire","Tungsten",6
"577","New Hampshire","Uranium",1
"578","New Hampshire","Zinc",12
"579","New Hampshire","Zirconium",1
"580","New Jersey","Antimony",1
"581","New Jersey","Copper",32
"582","New Jersey","Iron",504
"583","New Jersey","Lead",1
"584","New Jersey","Magnesite",2
"585","New Jersey","Manganese",2
"586","New Jersey","Metal",6
"587","New Jersey","Molybdenum",1
"588","New Jersey","Palladium",1
"589","New Jersey","Platinum",2
"590","New Jersey","REE",6
"591","New Jersey","Silica",3
"592","New Jersey","Silver",1
"593","New Jersey","Titanium",12
"594","New Jersey","Tungsten",2
"595","New Jersey","Uranium",2
"596","New Jersey","Vanadium",1
"597","New Jersey","Zinc",8
"598","New Jersey","Zirconium",5
"599","New Mexico","Aluminum",13
"600","New Mexico","Antimony",2
