"","time","latitude","longitude","depth","mag","magType","gap","dmin","rms","id","updated","place","type","horizontalError","depthError","magError","locationSource","magSource"
"49","2021-12-16T11:03:30.817Z",-6.1953,127.989,378.62,5.2,"mww",20,3.733,0.91,"us6000gcqy","2022-02-24T21:01:42.040Z","277 km S of Ambon, Indonesia","earthquake",7.6,4.8,0.086,"us","us"
"50","2021-12-16T04:26:06.982Z",-7.0438,128.6847,10,5.6,"mww",30,2.754,0.85,"us6000gcnj","2022-02-24T21:01:33.040Z","247 km NE of Lospalos, Timor Leste","earthquake",5.8,1.6,0.073,"us","us"
"51","2021-12-14T12:45:36.431Z",-30.3527,-177.457,10,5.2,"mb",67,1.159,0.7,"us6000gc5d","2022-02-24T21:00:47.040Z","Kermadec Islands, New Zealand","earthquake",8.6,1.8,0.08,"us","us"
"52","2021-12-14T08:31:31.397Z",-7.6129,122.3166,10,5.6,"mb",28,1.019,0.86,"us6000gc4q","2022-02-24T21:00:43.040Z","111 km N of Maumere, Indonesia","earthquake",6,1.7,0.049,"us","us"
"53","2021-12-14T04:23:55.138Z",-28.6861,-71.5555,17.79,5.5,"mwr",65,0.64,0.66,"us6000gc3k","2022-02-24T21:00:40.040Z","78 km W of Vallenar, Chile","earthquake",4.2,3.3,NA,"us","guc"
"54","2021-12-14T03:47:02.526Z",-7.3823,121.7602,10,5.1,"mb",95,1.332,0.78,"us6000gc3a","2022-02-24T21:00:39.040Z","145 km NNW of Maumere, Indonesia","earthquake",7,1.8,0.147,"us","us"
"55","2021-12-14T03:25:27.949Z",-7.605,122.2449,10,5.8,"mb",67,1.024,0.7,"us6000gcaj","2022-02-24T21:00:56.040Z","112 km N of Maumere, Indonesia","earthquake",4.2,1.8,0.094,"us","us"
"56","2021-12-14T03:23:30.443Z",-7.6086,122.2473,10,5.7,"mb",68,1.02,1.22,"us6000gcdu","2022-02-24T21:01:06.040Z","111 km N of Maumere, Indonesia","earthquake",5.2,1.9,0.117,"us","us"
"57","2021-12-14T03:20:23.809Z",-7.6033,122.2274,14.27,7.3,"mww",32,1.025,0.61,"us6000gc2a","2022-02-24T21:00:39.040Z","Flores Sea","earthquake",5.1,2.6,0.055,"us","us"
"58","2021-12-14T02:31:32.038Z",24.807,-109.2209,10,5.1,"mww",155,3.693,0.8,"us6000gc27","2022-02-24T21:00:39.040Z","89 km S of Topolobampo, Mexico","earthquake",8.5,1.9,0.046,"us","us"
"59","2021-12-13T21:44:58.408Z",-37.1379,-95.1883,10,5.4,"mww",26,15.621,1.01,"us6000gc0k","2022-02-24T21:00:36.040Z","southeast of Easter Island","earthquake",7.7,1.7,0.042,"us","us"
"60","2021-12-13T11:44:48.952Z",-21.8145,170.198,24.67,5.3,"mww",94,3.494,0.6,"us6000gbv3","2022-02-24T21:00:31.040Z","241 km E of Tadine, New Caledonia","earthquake",6.4,5,0.075,"us","us"
"61","2021-12-13T09:12:33.433Z",13.6205,120.7577,133.39,5.5,"mww",32,8.68,0.72,"us6000gbu7","2022-02-24T21:00:29.040Z","Mindoro, Philippines","earthquake",9,3.9,0.037,"us","us"
"62","2021-12-13T07:03:07.238Z",15.5707,-92.0281,167,5.7,"mww",82,0.714,0.55,"us6000gbt6","2022-02-24T21:00:28.040Z","3 km SSE of El Pacayal, Mexico","earthquake",7.5,1.9,0.054,"us","us"
"63","2021-12-12T22:11:35.900Z",-53.0212,22.1307,10,5.3,"mww",40,20.22,0.76,"us6000gbqp","2022-02-24T21:00:23.040Z","south of Africa","earthquake",11.4,1.8,0.065,"us","us"
"64","2021-12-12T09:45:02.503Z",-60.7916,153.8235,10,5.3,"mww",56,17.015,0.81,"us6000gbwk","2022-02-24T21:00:34.040Z","west of Macquarie Island","earthquake",11.9,1.9,0.089,"us","us"
"65","2021-12-12T08:58:07.352Z",-60.7956,154.1393,10,6.6,"mww",122,6.821,0.58,"us6000gbls","2022-02-24T21:00:12.040Z","west of Macquarie Island","earthquake",11.8,1.9,0.083,"us","us"
"66","2021-12-11T15:29:46.358Z",-7.0422,128.6902,13,5.4,"mww",39,2.75,1.07,"us6000gbfn","2022-02-24T20:59:56.040Z","248 km NE of Lospalos, Timor Leste","earthquake",5,1.7,0.098,"us","us"
"67","2021-12-11T14:54:19.098Z",-29.527,-71.2992,45,5.7,"mww",33,0.393,0.84,"us6000gbfe","2022-02-24T20:59:56.040Z","42 km N of La Serena, Chile","earthquake",4.2,1.9,0.058,"us","us"
"68","2021-12-11T14:35:44.247Z",-56.1595,-27.6318,66.16,5.1,"mb",57,5.406,1.07,"us6000gbfc","2022-02-24T20:59:56.040Z","South Sandwich Islands region","earthquake",9,4.9,0.075,"us","us"
"69","2021-12-10T13:27:55.945Z",-31.5014,-178.1747,33.46,5.2,"mww",59,2.242,0.47,"us6000gb6d","2022-02-24T20:59:38.040Z","Kermadec Islands region","earthquake",8.9,3.7,0.071,"us","us"
"70","2021-12-09T23:32:16.098Z",44.1627,-129.5187,10,5.4,"mww",119,1.664,1.08,"us6000gb13","2022-02-12T23:07:24.040Z","off the coast of Oregon","earthquake",7.7,1.8,0.034,"us","us"
